"Area","Example responsibilities","Approx. function count"
"ChatDirector façade","catalog, environment_summary, plan_from_prompt, validate_response, generate_skeleton","10–12"
"Config/env","detect_environment, find_spine_paths, find_manifest_dir, context_mode","8–10"
"Spine loading & catalogs","load_spine, invariant_catalog, metric_catalog, describe_object_kind, safe_defaults, compute_derived","12–15"
"Manifest routing","load_manifests, explain_route, plan_paths, validate_target, helpers","10–12"
"Request/response models","constructors, schema guard helpers, envelope utilities","6–8"
"Phase management","describe_phase, allowed_in_phase, promotion_predicates","6–8"
"Validation orchestration","validate_schema, validate_phase, validate_invariants, validate_manifest, validate_envelope, validate_all","10–12"
"Invariant enforcement","range and XMIT checks keyed by spine","8–10"
"Skeleton generation","4 per objectKind plus helpers and balancing hints","10–12"
"CLI/HTTP surfaces","CLI command handlers, HTTP endpoints, version/capability manifest","8–10"
